category,fraction,average_dot_product,variance,second_best_category
Large Water Bottle,0.061298467538311543,0.28100893,0.00081298477,Water Bottle
Wine Bottle,0.10032249193770156,0.26356268,0.000657858,Small Wine Bottle
Small Water Bottle,0.1463963400914977,0.27308774,0.00069990836,Water Bottle
Small Wine Bottle,0.10959726006849829,0.25902042,0.0005638025,Wine Bottle
Large Plastic Bottle,0.025524361890952727,0.26951656,0.0007738642,Large Water Bottle
Small Plastic Bottle,0.03894902627434314,0.251924,0.00047988794,Plastic Bottle
Water Bottle,0.08987275318117047,0.2840651,0.0006694173,Small Water Bottle
Large Wine Bottle,0.03767405814854629,0.26032916,0.0009268322,Wine Bottle
Large Beer Bottle,0.0127996800079998,0.24726124,0.00043952093,Beer Bottle
Large Water Bottles,0.0035499112522186945,0.27381805,0.0006455502,Small Water Bottles
Small Water Bottles,0.012449688757781055,0.26566625,0.00066899677,Water Bottles
Wine Bottles,0.024174395640109,0.25901753,0.0005971441,Small Wine Bottles
Small Soda Bottle,0.031549211269718255,0.26573446,0.00052105985,Soda Bottle
Soda Bottle,0.06972325691857703,0.26101214,0.0005340959,Small Soda Bottle
Small Wine Bottles,0.03774905627359316,0.26733962,0.00067057327,Wine Bottles
Beer Bottle,0.06889827754306142,0.2561577,0.00059849775,Small Beer Bottle
Plastic Bottle,0.030649233769155772,0.27098507,0.0005625216,Small Plastic Bottle
Small Beer Bottle,0.010924726881827954,0.25212598,0.00050062884,Beer Bottle
Large Wine Bottles,0.01214969625759356,0.2507479,0.0007891635,Wine Bottles
Soda Bottles,0.021499462513437165,0.26344055,0.0005360271,Small Soda Bottles
Water Bottles,0.008374790630234243,0.26925653,0.00072134216,Small Water Bottles
Small Plastic Bottles,0.004099897502562436,0.2406906,0.00060882804,Small Plastic Bottle
Plastic Bottles,0.006149846253843654,0.24003194,0.00058259035,Plastic Bottle
Large Soda Bottle,0.0032249193770155747,0.26751783,0.0009584427,Soda Bottle
Large Beer Bottles,0.001524961875953101,0.2331091,0.00039029904,Beer Bottles
Large Plastic Bottles,0.002374940626484338,0.24146542,0.00082471245,Plastic Bottles
Small Soda Bottles,0.015324616884577886,0.27037686,0.00055947853,Soda Bottles
Large Soda Bottles,0.0031499212519687006,0.25691405,0.0010362504,Soda Bottles
Small Beer Bottles,0.00352491187720307,0.24668188,0.0005775817,Beer Bottles
Beer Bottles,0.006499837504062398,0.25014716,0.00040597917,Beer Bottle
