category,fraction,average_dot_product,variance,second_best_category
Large Water Bottle,0.09359766005849854,0.27660748,0.00081194367,Water Bottle
Wine Bottle,0.19139521511962201,0.25931287,0.0006527716,Large Wine Bottle
Large Plastic Bottle,0.04582385440363991,0.2630709,0.00073886086,Plastic Bottle
Water Bottle,0.18764530886727832,0.2769531,0.0007471399,Large Water Bottle
Plastic Bottle,0.05954851128721782,0.26206815,0.00062931934,Large Plastic Bottle
Large Wine Bottle,0.04759881002974926,0.25905657,0.0009103462,Wine Bottle
Soda Bottle,0.11217219569510763,0.2589498,0.00053482957,Beer Bottle
Wine Bottles,0.07074823129421765,0.25896892,0.00066861534,Wine Bottle
Large Beer Bottle,0.015049623759406015,0.24572067,0.0004485311,Beer Bottle
Water Bottles,0.01999950001249969,0.26681033,0.00065428735,Water Bottle
Large Soda Bottle,0.004474888127796805,0.26788467,0.0009199174,Soda Bottle
Beer Bottle,0.08812279693007675,0.2537492,0.0006082651,Beer Bottles
Soda Bottles,0.040823979400514986,0.26328695,0.0005736623,Soda Bottle
Beer Bottles,0.01112472188195295,0.24665855,0.00047228095,Beer Bottle
Plastic Bottles,0.01187470313242169,0.24043554,0.000599823,Plastic Bottle
