category,fraction,average_dot_product,variance,second_best_category
Large Water Bottle,0.030849228769280767,0.28822702,0.0007819573,Medium Water Bottle
Wine Bottle,0.0238744031399215,0.26637825,0.0005268996,Medium Wine Bottle
Small Water Bottle,0.08384790380240494,0.2769779,0.00067891146,Medium Water Bottle
Beverage Wine Bottle,0.04697382565435864,0.27734748,0.0003958677,Medium Wine Bottle
Large Plastic Bottle,0.00932476688082798,0.2732597,0.0007635019,Medium Plastic Bottle
Medium Water Bottle,0.09272268193295168,0.2805526,0.00070814934,Water Bottle
Small Plastic Bottle,0.016799580010499738,0.25431743,0.00039421377,Medium Plastic Bottle
Beverage Water Bottle,0.03674908127296818,0.27282372,0.0005490206,Medium Water Bottle
Medium Plastic Bottle,0.046298842528936776,0.26715273,0.0006567376,Beverage Plastic Bottle
Small Wine Bottle,0.06419839504012399,0.25814667,0.0005091908,Medium Wine Bottle
Water Bottle,0.034724131896702586,0.29158026,0.0005962847,Medium Water Bottle
Medium Water Bottles,0.010349741256468589,0.27470773,0.0007757703,Medium Water Bottle
Beverage Plastic Bottle,0.06752331191720207,0.25958955,0.0006250511,Medium Plastic Bottle
Large Beer Bottle,0.007524811879703008,0.24674243,0.0003155553,Beer Bottle
Beverage Water Bottles,0.004524886877828055,0.27250844,0.00042163997,Medium Water Bottles
Medium Wine Bottle,0.08914777130571735,0.26124668,0.0007764182,Wine Bottle
Large Water Bottles,0.0010499737506562336,0.2727083,0.00087143696,Medium Water Bottles
Small Wine Bottles,0.019499512512187196,0.26562735,0.0006318997,Medium Wine Bottles
Beer Bottle,0.037399065023374416,0.25710228,0.00062158145,Medium Beer Bottle
Beverage Beer Bottle,0.017599560010999726,0.2633151,0.00041246956,Beer Bottle
Small Water Bottles,0.004924876878078048,0.26767227,0.0005581076,Medium Water Bottles
Medium Wine Bottles,0.027324316892077698,0.26417866,0.00083496846,Wine Bottles
Large Wine Bottle,0.018324541886452838,0.25916043,0.0008077166,Medium Wine Bottle
Small Beer Bottle,0.006899827504312392,0.25253454,0.00052165985,Beer Bottle
Beverage Soda Bottle,0.028849278768030798,0.2736209,0.00048435415,Soda Bottle
Soda Bottle,0.0321991950201245,0.26197925,0.0005439142,Beverage Soda Bottle
Beverage Wine Bottles,0.015849603759906003,0.27434924,0.0006478066,Medium Wine Bottles
Small Soda Bottle,0.021924451888702783,0.26403886,0.0005186466,Soda Bottle
Soda Bottles,0.008774780630484237,0.2651082,0.00053271,Medium Soda Bottles
Wine Bottles,0.0055248618784530384,0.25479534,0.00051223964,Medium Wine Bottles
Large Wine Bottles,0.006374840628984276,0.24745184,0.0005202836,Large Wine Bottle
Beverage Plastic Bottles,0.012574685632859179,0.2504453,0.0006208628,Beverage Plastic Bottle
Plastic Bottle,0.007074823129421764,0.27454975,0.000714912,Medium Plastic Bottle
Large Soda Bottle,0.001149971250718732,0.26919267,0.0009912823,Beverage Soda Bottle
Water Bottles,0.003074923126921827,0.2690087,0.0007928135,Small Water Bottles
Medium Soda Bottles,0.003674908127296818,0.27168566,0.0005400002,Beverage Soda Bottles
Medium Soda Bottle,0.002424939376515587,0.2711948,0.00040716486,Beverage Soda Bottle
Small Soda Bottles,0.009174770630734231,0.27072608,0.0005130612,Medium Soda Bottles
Small Plastic Bottles,0.0014249643758906026,0.24300373,0.00052807207,Medium Plastic Bottles
Large Soda Bottles,0.0008999775005624859,0.24965289,0.0005372233,Beverage Soda Bottles
Medium Beer Bottle,0.008749781255468613,0.26253366,0.0006177521,Beer Bottle
Large Plastic Bottles,0.0008499787505312367,0.23702335,0.0007488973,Medium Plastic Bottles
Beverage Beer Bottles,0.005924851878703032,0.25876048,0.0005207223,Medium Beer Bottles
Plastic Bottles,0.0020749481262968424,0.23027527,0.0003534455,Plastic Bottle
Medium Plastic Bottles,0.0038749031274218143,0.25055122,0.0006032636,Medium Plastic Bottle
Medium Beer Bottles,0.003324916877078073,0.24836805,0.0005270234,Beer Bottles
Beverage Soda Bottles,0.011474713132171696,0.26634786,0.0008924729,Medium Soda Bottles
Small Beer Bottles,0.0016499587510312242,0.24658799,0.0006213044,Beer Bottles
Beer Bottles,0.002049948751281218,0.24930759,0.0004517567,Medium Beer Bottles
Large Beer Bottles,0.0005999850003749907,0.2314099,0.00025001666,Medium Beer Bottles
