category,fraction,average_dot_product,variance,second_best_category
Large Water Bottle,0.03714907127321817,0.28590918,0.0007733927,Medium Water Bottle
Wine Bottle,0.03329916752081198,0.26737297,0.00048289713,Medium Wine Bottle
Small Water Bottle,0.09097272568185795,0.276005,0.00068287586,Medium Water Bottle
Small Wine Bottle,0.07537311567210819,0.25923312,0.00052029686,Medium Wine Bottle
Large Plastic Bottle,0.012374690632734182,0.27185592,0.00074166193,Medium Plastic Bottle
Medium Water Bottle,0.1165220869478263,0.27798057,0.0006983556,Water Bottle
Small Plastic Bottle,0.021599460013499664,0.2536171,0.00040154986,Medium Plastic Bottle
Medium Plastic Bottle,0.07719807004824879,0.26388705,0.0006470557,Plastic Bottle
Water Bottle,0.03947401314967126,0.2895412,0.00062039203,Medium Water Bottle
Medium Water Bottles,0.014299642508937277,0.2726469,0.0007261863,Medium Water Bottle
Medium Wine Bottle,0.1147971300717482,0.2632455,0.000747036,Wine Bottle
Large Wine Bottle,0.02402439939001525,0.2610922,0.0007508563,Medium Wine Bottle
Medium Wine Bottles,0.04029899252518687,0.2654546,0.00080589973,Wine Bottles
Large Beer Bottle,0.010974725631859203,0.2477471,0.00036613274,Beer Bottle
Large Water Bottles,0.0014999625009374765,0.27024275,0.0008895636,Medium Water Bottles
Wine Bottles,0.008399790005249869,0.2573265,0.0004656542,Medium Wine Bottles
Small Soda Bottle,0.028074298142546437,0.265948,0.0005186426,Soda Bottle
Small Wine Bottles,0.024549386265343365,0.26552272,0.000653836,Medium Wine Bottles
Beer Bottle,0.05359866003349916,0.25603834,0.0005982527,Medium Beer Bottle
Plastic Bottle,0.012099697507562311,0.27135646,0.0006414524,Medium Plastic Bottle
Small Water Bottles,0.00542486437839054,0.2672943,0.00054679817,Medium Water Bottles
Small Beer Bottle,0.008774780630484237,0.25156367,0.00049278606,Beer Bottle
Large Wine Bottles,0.007724806879828005,0.2482485,0.0005832598,Wine Bottles
Soda Bottle,0.048348791280218,0.26367143,0.0005230908,Medium Soda Bottle
Soda Bottles,0.014949626259343516,0.26370475,0.0005172551,Medium Soda Bottles
Medium Soda Bottle,0.00769980750481238,0.2721182,0.0003872351,Soda Bottle
Medium Beer Bottles,0.007224819379515512,0.24835189,0.0005279726,Beer Bottles
Small Plastic Bottles,0.002049948751281218,0.24244188,0.0004888569,Medium Plastic Bottles
Plastic Bottles,0.003899902502437439,0.23502196,0.0004474689,Medium Plastic Bottles
Large Soda Bottle,0.0021499462513437165,0.27271986,0.000794322,Soda Bottle
Water Bottles,0.004049898752531186,0.26776743,0.0007447549,Medium Water Bottles
Medium Soda Bottles,0.00927476813079673,0.2721346,0.0005967996,Soda Bottles
Medium Plastic Bottles,0.0058998525036874075,0.24924147,0.00069071073,Medium Plastic Bottle
Medium Beer Bottle,0.014349641258968525,0.26049227,0.000583436,Beer Bottle
Small Soda Bottles,0.011724706882327941,0.27067098,0.00051351194,Medium Soda Bottles
Large Soda Bottles,0.002024949376265593,0.25196186,0.0008504479,Medium Soda Bottles
Large Plastic Bottles,0.0011999700007499813,0.24106777,0.0007241269,Medium Plastic Bottles
Small Beer Bottles,0.0022749431264218393,0.24528472,0.00054522924,Medium Beer Bottles
Large Beer Bottles,0.0008499787505312367,0.23242885,0.0002800086,Medium Beer Bottles
Beer Bottles,0.00352491187720307,0.25116658,0.0004619842,Medium Beer Bottles
