category,fraction,average_dot_product,variance,second_best_category
Large Water Bottle,0.03727406814829629,0.28585672,0.0007723649,Medium Water Bottle
Wine Bottle,0.03367415814604635,0.26732215,0.0004840729,Medium Wine Bottle
Small Water Bottle,0.09124771880702982,0.27593955,0.0006839031,Medium Water Bottle
Small Wine Bottle,0.07647308817279568,0.25924376,0.00052364235,Medium Wine Bottle
Large Plastic Bottle,0.012374690632734182,0.27185592,0.00074167736,Medium Plastic Bottle
Medium Water Bottle,0.1225219369515762,0.27743325,0.0007115247,Water Bottle
Small Plastic Bottle,0.021674458138546536,0.25358653,0.00040181918,Medium Plastic Bottle
Medium Plastic Bottle,0.08049798755031125,0.26345968,0.00065330364,Plastic Bottle
Water Bottle,0.039499012524686884,0.2895051,0.0006220564,Medium Water Bottle
Medium Wine Bottle,0.1258468538286543,0.262893,0.00075507665,Wine Bottle
Large Wine Bottle,0.024599385015374616,0.2608489,0.00075914804,Medium Wine Bottle
Large Beer Bottle,0.0111747206319842,0.24734591,0.00037862363,Beer Bottle
Large Water Bottles,0.002824929376765581,0.27557078,0.0006874557,Small Water Bottles
Small Water Bottles,0.009524761880952977,0.26837528,0.0005951879,Water Bottles
Wine Bottles,0.01947451313717157,0.2595715,0.00057514274,Small Wine Bottles
Small Soda Bottle,0.02814929626759331,0.2659597,0.0005178502,Soda Bottle
Small Wine Bottles,0.036249093772655686,0.26768836,0.00066681963,Wine Bottles
Beer Bottle,0.054873628159296015,0.25575894,0.00059957657,Medium Beer Bottle
Plastic Bottle,0.012099697507562311,0.2713565,0.00064142875,Medium Plastic Bottle
Small Beer Bottle,0.008874778130546736,0.25149062,0.00048883463,Beer Bottle
Large Wine Bottles,0.011074723131921703,0.25074604,0.00074688846,Wine Bottles
Soda Bottle,0.048623784405389864,0.2636188,0.00052304304,Medium Soda Bottle
Soda Bottles,0.020424489387765307,0.26408985,0.0005231178,Small Soda Bottles
Medium Soda Bottle,0.008499787505312367,0.2717907,0.00039284088,Soda Bottle
Small Plastic Bottles,0.003049923751906202,0.24312776,0.00051692664,Plastic Bottles
Plastic Bottles,0.004874878128046799,0.237408,0.00054808886,Plastic Bottle
Large Soda Bottle,0.002174945626359341,0.2728295,0.0007862387,Soda Bottle
Water Bottles,0.0058748531286717835,0.27083313,0.0007064576,Small Water Bottles
Large Beer Bottles,0.0014749631259218519,0.23287605,0.00039264307,Beer Bottles
Medium Beer Bottle,0.01609959751006225,0.25850853,0.00063268887,Beer Bottle
Large Plastic Bottles,0.0016749581260468488,0.23918462,0.00078172114,Plastic Bottles
Small Soda Bottles,0.014974625634359142,0.27088076,0.0005294596,Soda Bottles
Large Soda Bottles,0.0029749256268593286,0.2582435,0.0010173582,Soda Bottles
Small Beer Bottles,0.0032249193770155747,0.247129,0.0005371959,Beer Bottles
Beer Bottles,0.006049848753781156,0.2503482,0.0004218472,Beer Bottle
