category,fraction,average_dot_product,variance,second_best_category
Large Water Bottle,0.03087422814429639,0.28822255,0.0007813427,Medium Water Bottle
Wine Bottle,0.023974400639984,0.26640072,0.00052535423,Medium Wine Bottle
Small Water Bottle,0.08399790005249869,0.27693528,0.0006795883,Medium Water Bottle
Beverage Wine Bottle,0.0513987150321242,0.2772077,0.0003927357,Medium Wine Bottle
Large Plastic Bottle,0.00932476688082798,0.2732597,0.0007635019,Medium Plastic Bottle
Medium Water Bottle,0.09277268068298293,0.2805422,0.00070817064,Water Bottle
Small Plastic Bottle,0.016824579385515362,0.2543696,0.0003954475,Medium Plastic Bottle
Beverage Water Bottle,0.03789905252368691,0.27266154,0.0005503732,Medium Water Bottle
Medium Plastic Bottle,0.0464238394040149,0.26711732,0.0006559061,Beverage Plastic Bottle
Small Wine Bottle,0.06434839129021774,0.2581551,0.0005089049,Medium Wine Bottle
Water Bottle,0.034749131271718206,0.29157448,0.00059589965,Medium Water Bottle
Medium Water Bottles,0.012249693757656058,0.27446526,0.0007199346,Small Water Bottles
Beverage Plastic Bottle,0.07702307442313942,0.25802493,0.000648293,Medium Plastic Bottle
Large Beer Bottle,0.007674808129796755,0.24622695,0.00032659151,Beer Bottle
Medium Wine Bottle,0.08917277068073298,0.26124007,0.0007763545,Wine Bottle
Large Water Bottles,0.0012499687507812305,0.2732478,0.00083577156,Medium Water Bottles
Small Soda Bottle,0.021949451263718407,0.26403558,0.0005180689,Soda Bottle
Small Wine Bottles,0.023399415014624635,0.26604244,0.0006536663,Medium Wine Bottles
Beer Bottle,0.037824054398640033,0.25695372,0.0006232151,Medium Beer Bottle
Beverage Beer Bottle,0.02007449813754656,0.26238728,0.0004209896,Beer Bottle
Small Water Bottles,0.005199870003249919,0.26799634,0.0005460657,Medium Water Bottles
Medium Wine Bottles,0.03334916627084323,0.26591536,0.00082237326,Wine Bottles
Large Wine Bottle,0.018474538136546585,0.25910825,0.0008064239,Medium Wine Bottle
Small Beer Bottle,0.007024824379390515,0.2523011,0.0005204347,Beer Bottle
Beverage Soda Bottle,0.030824229394265143,0.27364698,0.0004783748,Soda Bottle
Soda Bottle,0.032299192520186995,0.26191217,0.0005441494,Beverage Soda Bottle
Soda Bottles,0.011799705007374815,0.26480824,0.0005367328,Medium Soda Bottles
Wine Bottles,0.007024824379390515,0.25639972,0.0004901954,Medium Wine Bottles
Large Wine Bottles,0.007249818754531137,0.24787003,0.0005661471,Wine Bottles
Plastic Bottle,0.007074823129421764,0.27454975,0.000714912,Medium Plastic Bottle
Large Soda Bottle,0.0011749706257343567,0.26837876,0.001000663,Beverage Soda Bottle
Water Bottles,0.00352491187720307,0.2676564,0.00077166455,Medium Water Bottles
Medium Soda Bottles,0.006974825629359266,0.273927,0.0006000833,Soda Bottles
Medium Soda Bottle,0.002424939376515587,0.2711948,0.00040716486,Beverage Soda Bottle
Small Soda Bottles,0.01089972750681233,0.27096486,0.000528843,Medium Soda Bottles
Small Plastic Bottles,0.001724956876078098,0.24211922,0.00045336847,Medium Plastic Bottles
Large Soda Bottles,0.0015749606259843503,0.25262648,0.0009081477,Medium Soda Bottles
Medium Beer Bottle,0.008874778130546736,0.26200047,0.00063016114,Beer Bottle
Large Plastic Bottles,0.0009499762505937352,0.23975563,0.0008171295,Medium Plastic Bottles
Small Beer Bottles,0.0020749481262968424,0.24485834,0.0005623059,Beer Bottles
Medium Beer Bottles,0.005374865628359291,0.24866396,0.0005309083,Beer Bottles
Plastic Bottles,0.0027249318767030824,0.23213184,0.0004078314,Medium Plastic Bottles
Medium Plastic Bottles,0.00449988750281243,0.25155282,0.00062736403,Medium Plastic Bottle
Beer Bottles,0.0028999275018124545,0.25069076,0.0004843638,Medium Beer Bottles
Large Beer Bottles,0.0007749806254843629,0.23148027,0.00024219097,Medium Beer Bottles
