category,fraction,average_dot_product,variance,second_best_category
Large Water Bottle,0.030724231894202644,0.28834054,0.0007757896,Medium Water Bottle
Wine Bottle,0.022849428764280894,0.26688623,0.0005202346,Medium Wine Bottle
Small Water Bottle,0.05547361315967101,0.2789572,0.0006956674,Medium Water Bottle
Beverage Wine Bottle,0.04619884502887428,0.2776406,0.00039200555,Medium Wine Bottle
Large Plastic Bottle,0.00899977500562486,0.27420282,0.0007539802,Medium Plastic Bottle
Medium Water Bottle,0.08887277818054548,0.280744,0.00070936413,Water Bottle
Small Plastic Bottle,0.006924826879328017,0.25730443,0.00042330744,Medium Plastic Bottle
Beverage Water Bottle,0.03612409689757756,0.27305752,0.0005463544,Medium Water Bottle
Medium Plastic Bottle,0.04072398190045249,0.26813525,0.00067752675,Beverage Plastic Bottle
Tiny Wine Bottle,0.04294892627684308,0.25854263,0.00038410316,Small Wine Bottle
Tiny Water Bottle,0.03612409689757756,0.27626103,0.00063734746,Small Water Bottle
Water Bottle,0.03394915127121822,0.29216543,0.000575671,Medium Water Bottle
Medium Water Bottles,0.010274743131421715,0.2748385,0.0007783885,Medium Water Bottle
Small Wine Bottle,0.03144921376965576,0.2630133,0.0005881669,Medium Wine Bottle
Beverage Plastic Bottle,0.06354841128971776,0.2603553,0.00062810146,Beverage Plastic Bottles
Tiny Plastic Bottle,0.0207244818879528,0.2536486,0.00039650765,Small Plastic Bottle
Large Beer Bottle,0.007424814379640509,0.24672696,0.0003181676,Beer Bottle
Beverage Water Bottles,0.004474888127796805,0.2727849,0.00041914254,Medium Water Bottles
Medium Wine Bottle,0.08639784005399866,0.26132444,0.0007875142,Wine Bottle
Large Water Bottles,0.0010499737506562336,0.2727083,0.00087143696,Medium Water Bottles
Small Wine Bottles,0.017549561260968474,0.2672077,0.0006334299,Medium Wine Bottles
Beer Bottle,0.035124121896952576,0.25789985,0.0006182144,Medium Beer Bottle
Beverage Beer Bottle,0.017199570010749732,0.2636688,0.00040981936,Beer Bottle
Small Water Bottles,0.004424889377765556,0.2689138,0.00055138,Medium Water Bottles
Medium Wine Bottles,0.02669933251668708,0.2647458,0.0008288537,Wine Bottles
Large Wine Bottle,0.01822454438639034,0.2592503,0.0008087786,Medium Wine Bottle
Tiny Beer Bottle,0.008599785005374866,0.25208426,0.00052356167,Small Beer Bottle
Beverage Soda Bottle,0.027749306267343316,0.27429017,0.0004762598,Soda Bottle
Beverage Wine Bottles,0.01562460938476538,0.27443033,0.0006515442,Medium Wine Bottles
Tiny Soda Bottle,0.014399640008999775,0.2619728,0.0004287561,Small Soda Bottle
Soda Bottles,0.00862478438039049,0.26532716,0.0005381432,Medium Soda Bottles
Small Soda Bottle,0.010174745631359216,0.27309653,0.00046659747,Soda Bottle
Wine Bottles,0.0052998675033124176,0.2552398,0.00051963556,Medium Wine Bottles
Soda Bottle,0.028549286267843303,0.2634401,0.00053670985,Beverage Soda Bottle
Large Wine Bottles,0.006374840628984276,0.24745184,0.0005202836,Large Wine Bottle
Small Beer Bottle,0.0025999350016249595,0.25354716,0.00046436145,Beer Bottle
Beverage Plastic Bottles,0.012024699382515438,0.2509552,0.0006337394,Beverage Plastic Bottle
Large Soda Bottle,0.001149971250718732,0.26919267,0.0009912823,Beverage Soda Bottle
Water Bottles,0.0029249268768280793,0.27060363,0.00077198714,Small Water Bottles
Medium Soda Bottles,0.003649908752281193,0.27174434,0.00054320897,Beverage Soda Bottles
Medium Soda Bottle,0.001974950626234344,0.27086505,0.0004720024,Beverage Soda Bottle
Plastic Bottle,0.0062498437539061525,0.27762482,0.0006621399,Medium Plastic Bottle
Small Soda Bottles,0.008449788755281119,0.27242875,0.0005058424,Medium Soda Bottles
Small Plastic Bottles,0.0011249718757031075,0.24454945,0.00050024455,Medium Plastic Bottles
Large Soda Bottles,0.0008999775005624859,0.24965289,0.0005372233,Beverage Soda Bottles
Medium Beer Bottle,0.008124796880077998,0.26361647,0.0005977044,Beer Bottle
Large Plastic Bottles,0.0008499787505312367,0.23702335,0.0007488973,Medium Plastic Bottles
Beverage Beer Bottles,0.0058998525036874075,0.25888163,0.0005194454,Medium Beer Bottles
Plastic Bottles,0.0019499512512187196,0.230213,0.0003646826,Plastic Bottle
Medium Plastic Bottles,0.003474913127171821,0.2514129,0.00063352793,Medium Plastic Bottle
Medium Beer Bottles,0.003274918127046824,0.2482587,0.0005338829,Beer Bottles
Beverage Soda Bottles,0.01144971375715607,0.2664137,0.0008924393,Medium Soda Bottles
Beer Bottles,0.002049948751281218,0.24930759,0.0004517567,Medium Beer Bottles
Small Beer Bottles,0.001399965000874978,0.24851917,0.00063257985,Beer Bottles
Large Beer Bottles,0.0005999850003749907,0.2314099,0.00025001666,Medium Beer Bottles
