category,fraction,average_dot_product,variance,second_best_category
frog,0.021562217430618348,0.30096737,5.4574783e-05,frogs
iguana,0.02997843778256938,0.30560562,7.362985e-05,iguanas
frogs,6.955554009876887e-05,0.30867374,0.0,frog
camels,0.008555331432148571,0.30744022,5.3653872e-05,camel
camel,0.006607776309383043,0.30503517,5.113702e-05,camels
falcon,0.021701328510815885,0.30154577,2.607321e-05,hawk
eagle,0.017388885024692217,0.29996374,4.476166e-05,eagles
hawk,0.006399109689086736,0.29523036,2.7552895e-05,falcon
fox,0.015163107741531612,0.3077947,5.1857136e-05,foxs
spider,0.014189330180148849,0.2881714,7.764966e-05,spiders
porcupines,6.955554009876887e-05,0.2776535,0.0,porcupine
spiders,0.0002782221603950755,0.28250203,1.963228e-05,spider
porcupine,0.012172219517284552,0.31161347,0.0002091217,hedgehog
crocodile,0.013145997078667315,0.30822098,5.05296e-05,crocodiles
crocodiles,0.0017388885024692217,0.30827725,0.00010620117,crocodile
chimpanzee,0.015510885442025456,0.3071175,3.552116e-05,chimpanzees
chimpanzees,0.0003477777004938443,0.30642527,2.0211935e-05,chimpanzee
crab,0.015023996661334076,0.30641842,6.6889654e-05,crabs
crabs,6.955554009876887e-05,0.29710913,0.0,crab
hyena,0.014884885581136537,0.31367806,7.295163e-05,hyenas
hyenas,6.955554009876887e-05,0.30950266,0.0,hyena
cheetah,0.01599777422271684,0.31670266,5.008034e-05,leopard
wolf,0.006677331849481811,0.29664674,3.1689804e-05,wolfs
wolfs,0.008346664811852264,0.2992273,3.1558673e-05,wolf
leopard,0.02037977324893928,0.30841094,6.0768256e-05,jaguar
jaguar,0.006468665229185505,0.30791178,3.8690465e-05,leopard
owl,0.014954441121235307,0.305838,4.0524505e-05,owls
owls,6.955554009876887e-05,0.33038077,0.0,owl
gorilla,0.01405021909995131,0.30515456,5.4444416e-05,gorillas
gorillas,0.00013911108019753774,0.29924512,9.231269e-06,gorilla
chinchilla,0.015023996661334076,0.32762408,0.00012418076,chinchillas
chinchillas,6.955554009876887e-05,0.32403618,0.0,chinchilla
grasshopper,0.015023996661334076,0.30336133,8.5627595e-05,grasshoppers
bear,0.015232663281630383,0.293388,4.7918867e-05,bears
bears,6.955554009876887e-05,0.29330167,0.0,bear
sheeps,0.005007998887111359,0.296784,3.9875507e-05,sheep
sheep,0.010850664255407943,0.2975172,7.160505e-05,sheeps
squid,0.014258885720247617,0.28320077,0.00017693682,squids
snake,0.014467552340543924,0.28929734,3.2599157e-05,snakes
dolphin,0.014884885581136537,0.30574992,5.6079614e-05,dolphins
mongoose,0.01537177436182792,0.3036541,0.00012693793,mongooses
snail,0.014606663420741461,0.31594932,7.1289425e-05,snails
lynxs,6.955554009876887e-05,0.23169388,0.0,mongoose
goose,0.017875773805383598,0.3027024,7.412684e-05,gooses
gooses,0.0023648883633581416,0.29071662,5.8594873e-05,goose
blackbird,0.0002086666202963066,0.27304032,0.00019183259,blackbirds
giraffe,0.014745774500939,0.2998969,3.2209e-05,giraffes
giraffes,0.0002782221603950755,0.30380073,1.7382205e-05,giraffe
walrus,0.010920219795506713,0.306489,0.00010972114,seal
seal,0.01857132920637129,0.30782324,6.512846e-05,seals
whale,0.014606663420741461,0.29870942,2.381461e-05,whales
seals,0.0002782221603950755,0.3009374,9.663403e-05,seal
hippopotamuss,0.015649996522222993,0.32901967,0.00017733256,hippopotamus
otter,0.019962440008346665,0.3135118,0.0001418416,otters
otters,0.001043333101481533,0.33048484,0.00011827946,otter
ostrich,0.01175488627669194,0.30566755,0.000117251155,gooses
flamingo,0.013076441538568547,0.31729814,0.000100572055,flamingos
flamingos,0.0038951102455310567,0.31162408,0.00011537756,flamingo
buffalo,0.00911177575293872,0.30358756,3.1595013e-05,bison
bison,0.020657995409334353,0.3028893,2.8854267e-05,buffalo
buffalos,0.0002782221603950755,0.2989381,5.491078e-06,buffalo
hedgehog,0.01857132920637129,0.3188205,3.841843e-05,hedgehogs
hedgehogs,0.00013911108019753774,0.3146983,1.1175871e-06,hedgehog
koala,0.014745774500939,0.31301868,3.2604865e-05,koalas
koalas,0.0002782221603950755,0.30924278,3.9570034e-05,koala
eagles,6.955554009876887e-05,0.30281258,0.0,hawks
snails,0.0004868887806913821,0.30943593,5.5960245e-05,snail
blackbirds,0.014467552340543924,0.29177767,2.355759e-05,blackbird
peacock,0.014954441121235307,0.31813145,6.5160355e-05,peacocks
peacocks,6.955554009876887e-05,0.33991355,0.0,peacock
cat,0.029213326841482923,0.26136276,3.885996e-05,cats
cats,0.0006955554009876886,0.27506715,4.3934582e-05,cat
lemur,0.015023996661334076,0.31568432,5.1842795e-05,lemurs
lynx,0.014745774500939,0.30037278,0.00013511586,leopard
antelope,0.011963552896988245,0.30350116,4.169553e-05,antelopes
deers,0.0116157751964944,0.3009972,3.9843027e-05,deer
antelopes,0.0028517771440495234,0.30369392,6.358216e-05,antelope
iguanas,0.0002782221603950755,0.30887717,5.670637e-05,iguana
lizards,6.955554009876887e-05,0.29223755,0.0,iguana
penguin,0.011963552896988245,0.29891768,0.00013366411,penguins
penguins,0.00306044376434583,0.29837996,5.089153e-05,penguin
lemurs,6.955554009876887e-05,0.30938762,0.0,lemur
deer,0.00368644362523475,0.30221945,3.741822e-05,deers
snakes,0.0006259998608889199,0.28102332,5.2902433e-05,snake
ferret,0.015649996522222993,0.30045393,0.00011371189,ferrets
cow,0.015302218821729151,0.29658487,6.088777e-05,cows
cows,0.0004173332405926132,0.28692898,5.779167e-05,cow
goats,0.009459553453432567,0.28258285,5.931013e-05,goat
goat,0.0038951102455310567,0.28164747,2.5604453e-05,goats
donkey,0.015023996661334076,0.2987997,9.7963544e-05,donkeys
panda,0.01411977464005008,0.3060971,3.929326e-05,pandas
pandas,0.0009042220212839953,0.3091782,3.8467922e-05,panda
moles,0.008694442512346108,0.28144705,4.9957274e-05,mole
beaver,0.00911177575293872,0.29331002,6.316818e-05,beavers
mole,6.955554009876887e-05,0.26602027,0.0,moles
kangaroo,0.014606663420741461,0.3176407,7.03085e-05,kangaroos
beavers,0.0002782221603950755,0.2942366,1.5713274e-05,beaver
mongooses,0.00013911108019753774,0.28204793,2.6002526e-05,mongoose
whales,0.000556444320790151,0.29544213,7.852912e-06,whale
jaguars,0.0002782221603950755,0.3001171,5.990267e-06,leopard
leopards,0.00013911108019753774,0.29577005,1.1920929e-07,leopard
dolphins,0.0004173332405926132,0.30765697,5.3554773e-05,dolphin
kangaroos,0.0004868887806913821,0.3212144,4.584449e-05,kangaroo
