category,fraction,average_dot_product,variance,second_best_category
Animal frogs,0.0018084440425679906,0.3060218,3.329607e-05,Animal frog
frog,0.00013911108019753774,0.2979883,9.760261e-07,Animal frog
Animal frog,0.010920219795506713,0.3077277,5.405572e-05,Animal frogs
Medium frog,0.008833553592543645,0.30861568,7.212631e-05,Animal frog
Animal camels,0.012102663977185783,0.3119476,4.8297574e-05,camels
camels,0.0004173332405926132,0.31315222,4.8538048e-05,Animal camels
Large camel,0.0004868887806913821,0.3155561,2.081905e-05,Animal camels
Small camel,0.001599777422271684,0.30746412,9.280702e-05,camel
Animal camel,0.0002782221603950755,0.30565786,2.7887523e-05,Small camel
camel,0.0003477777004938443,0.3046597,4.90129e-05,Small camel
Animal falcon,0.021979550671210962,0.309986,4.2999847e-05,Large falcon
Large falcon,0.0007651109410864575,0.30411914,4.2958694e-05,Animal falcon
Animal falcons,0.00013911108019753774,0.29902852,4.4107437e-06,Animal hawk
Animal hawk,0.0027822216039507545,0.30310774,3.4964083e-05,Animal falcon
Small hawk,0.0011824441816790708,0.3093397,4.572027e-05,Animal falcon
Animal eagle,0.0017388885024692217,0.30451477,4.5204164e-05,eagle
Large eagle,0.009598664533630103,0.3037553,5.1125236e-05,eagle
Large hawk,0.001043333101481533,0.30785167,4.392465e-05,Animal falcon
falcon,0.00013911108019753774,0.298388,7.644296e-06,Animal falcon
Medium fox,0.004034221325728594,0.31740665,8.590468e-05,Animal fox
Animal fox,0.009876886694025179,0.31591013,5.841591e-05,Medium fox
Small fox,0.0014606663420741461,0.29959455,0.0005982149,Medium fox
Large fox,0.0003477777004938443,0.31757352,1.27315525e-05,Medium fox
Animal spider,0.012380886137580859,0.3054929,7.9476435e-05,Animal spiders
Medium porcupine,0.0002782221603950755,0.27536914,2.2701919e-05,Medium porcupines
Animal spiders,0.0003477777004938443,0.30033177,3.812313e-05,Animal spider
Large spider,0.0013911108019753773,0.29898232,3.1381845e-05,Animal spider
Medium spider,0.00013911108019753774,0.31498498,1.0728836e-06,Animal spider
porcupine,0.0002782221603950755,0.253753,0.00013412535,Medium porcupine
spider,0.0002086666202963066,0.30603597,5.195538e-06,Medium spider
Animal crocodile,0.009389997913333796,0.31294012,5.0240975e-05,Large crocodile
Large crocodile,0.001599777422271684,0.31264433,3.2953594e-05,Animal crocodile
crocodile,0.00013911108019753774,0.3096091,0.000112727284,Animal crocodile
Animal crocodiles,0.0028517771440495234,0.31483063,5.6348195e-05,Animal crocodile
Large iguana,0.007511998330667038,0.31838882,9.418417e-05,Animal iguana
Large crocodiles,0.0003477777004938443,0.32149047,7.650852e-05,Animal crocodiles
Animal iguana,0.02037977324893928,0.31045496,5.832711e-05,Large iguana
Small crocodiles,6.955554009876887e-05,0.3043036,0.0,Medium crocodiles
Animal chimpanzee,0.010085553314321486,0.31564942,4.655904e-05,Large chimpanzee
