category,fraction,average_dot_product,variance,second_best_category
frog,0.02031021770884051,0.3010957,5.343189e-05,Large frog
Large frog,0.0013215552618766084,0.29946414,0.00010110203,frog
frogs,6.955554009876887e-05,0.30867374,0.0,frog
camels,0.00799888711135842,0.3076337,5.198769e-05,camel
Large camel,0.0018084440425679906,0.3076604,9.046151e-05,camel
camel,0.005355776587605203,0.3047966,4.2519012e-05,camels
Large falcon,0.01592821868261807,0.30490765,3.47404e-05,falcon
falcon,0.0022953328232593728,0.30206746,2.13204e-05,Large falcon
Large eagle,0.010989775335605481,0.30293703,5.7727477e-05,eagle
Large hawk,0.008207553731654726,0.30359957,3.33786e-05,Large falcon
eagle,0.006677331849481811,0.2996497,3.7521124e-05,Large eagle
fox,0.007790220491062113,0.30982706,4.9625123e-05,Large fox
Large fox,0.0074424427905682685,0.30834404,7.3352705e-05,fox
Large spider,0.013076441538568547,0.29695255,4.615175e-05,spider
porcupines,6.955554009876887e-05,0.2776535,0.0,porcupine
spider,0.0012519997217778397,0.29706094,0.00013152759,Large spider
spiders,0.00013911108019753774,0.2787396,1.5869737e-06,spider
porcupine,0.001599777422271684,0.29942772,0.0007487898,Large porcupine
crocodile,0.005147109967308897,0.3082043,4.6942685e-05,Large crocodile
Large crocodile,0.008137998191555957,0.311585,5.0601797e-05,crocodile
crocodiles,0.0009737775613827642,0.3116769,6.406648e-05,crocodile
Large iguana,0.02086666202963066,0.31262997,0.00010032018,iguana
Large chimpanzee,0.015789107602420534,0.3151052,5.14564e-05,chimpanzee
Large crab,0.008833553592543645,0.31365243,8.274439e-05,crab
crab,0.006190443068790429,0.3063792,4.840165e-05,Large crab
hyena,0.012519997217778396,0.31459627,6.724463e-05,Large hyena
Large hyena,0.0022953328232593728,0.31203726,8.17848e-05,hyena
hyenas,6.955554009876887e-05,0.30950266,0.0,hyena
Large cheetah,0.014328441260346386,0.32388812,4.2424617e-05,cheetah
cheetah,0.001043333101481533,0.32097226,5.2928925e-05,Large cheetah
Large wolf,0.007164220630173193,0.30193287,3.0962008e-05,wolf
wolfs,0.005773109828197816,0.30067715,2.7955297e-05,wolf
wolf,0.002086666202963066,0.29890287,3.5452842e-05,wolfs
Large jaguar,0.021909995131112192,0.3198488,5.9424507e-05,Large leopard
Large leopard,0.005633998748000278,0.3148174,3.914774e-05,Large jaguar
leopard,0.00013911108019753774,0.29784286,0.00019316375,Large leopard
Large owl,0.013771996939556235,0.30927315,2.9091883e-05,owl
owl,0.0011824441816790708,0.30820823,4.9990766e-05,Large owl
owls,6.955554009876887e-05,0.33038077,0.0,Large owl
Large gorilla,0.013771996939556235,0.31278905,5.8877347e-05,gorilla
gorilla,0.0004868887806913821,0.30884674,1.8145356e-05,Large gorilla
chinchilla,0.01356333031925993,0.3273351,0.000118549055,Large chinchilla
Large chinchilla,0.001599777422271684,0.32968935,0.00028346933,chinchilla
grasshopper,0.014467552340543924,0.3034838,8.608745e-05,Large grasshopper
Large grasshopper,0.000556444320790151,0.3026074,6.6652894e-05,grasshopper
Large bear,0.013911108019753773,0.30052438,3.1461717e-05,bear
bear,0.0011824441816790708,0.2964624,1.699083e-05,Large bear
sheeps,0.003129999304444599,0.2967741,3.5672718e-05,Large sheep
Large sheep,0.010989775335605481,0.30540407,7.865399e-05,sheep
sheep,0.001112888641580302,0.29722348,1.142174e-05,Large sheep
Large squid,0.012589552757877164,0.29112065,0.00016496459,squid
squid,0.0019475551227655283,0.27949926,0.00039397817,Large squid
snake,0.001530221882172915,0.28826725,7.1200455e-05,Large snake
mongoose,0.006329554148987967,0.301776,0.000127981,Large mongoose
snail,0.01286777491827224,0.3162469,7.194313e-05,Large snail
lynxs,6.955554009876887e-05,0.23169388,0.0,mongoose
dolphin,0.014676218960840232,0.30638853,2.7606837e-05,dolphins
Large dolphin,6.955554009876887e-05,0.26406288,0.0,Large squid
Large goose,0.012172219517284552,0.3096506,0.00010368347,goose
gooses,0.0013911108019753773,0.2930641,6.890297e-05,Large goose
goose,0.005981776448494122,0.29932383,5.9294147e-05,Large goose
blackbird,6.955554009876887e-05,0.25350845,0.0,Large blackbird
giraffe,0.013980663559852542,0.2997444,3.2880413e-05,Large giraffe
Large giraffe,0.0007651109410864575,0.3039267,9.08158e-06,giraffe
giraffes,0.0002782221603950755,0.30380073,1.7382205e-05,giraffe
Large walrus,0.00925088683313626,0.3171469,0.0001294344,walrus
Large seal,0.005912220908395354,0.30843785,5.6322882e-05,seal
walrus,0.0006259998608889199,0.3124006,0.00013460715,Large walrus
Large whale,0.014537107880642693,0.30540448,2.6675503e-05,whale
seals,0.00013911108019753774,0.30831927,8.252263e-05,Large seal
seal,0.01411977464005008,0.3101026,4.4977725e-05,Large seal
otter,0.015580440982124227,0.31753507,8.216926e-05,Large otter
Large otter,0.005773109828197816,0.30165163,8.183215e-05,otter
otters,0.001043333101481533,0.33048484,0.00011827946,otter
Large flamingo,0.013215552618766085,0.32104257,0.00012516223,flamingo
ostrich,0.006816442929679349,0.31079724,6.819744e-05,Large ostrich
Large ostrich,0.004173332405926132,0.3054706,8.928776e-05,ostrich
flamingos,0.0032691103846421367,0.3139154,6.469767e-05,Large flamingo
Large bison,0.02503999443555679,0.31089777,3.83589e-05,Large buffalo
Large buffalo,0.003755999165333519,0.31073612,6.438185e-05,Large bison
buffalo,0.0006955554009876886,0.3033785,4.8178434e-05,Large buffalo
Large hedgehog,0.0189886624469639,0.32278734,3.728063e-05,hedgehog
hedgehog,0.0024344439034569105,0.3204356,3.8535254e-05,Large hedgehog
koala,0.01411977464005008,0.31299183,3.2998072e-05,Large koala
Large koala,0.0006259998608889199,0.31514955,2.2451082e-05,koala
koalas,0.0002782221603950755,0.30924278,3.9570034e-05,koala
hawk,0.0013215552618766084,0.29129228,1.4248647e-05,Large hawk
eagles,6.955554009876887e-05,0.30281258,0.0,hawks
Large snail,0.0017388885024692217,0.3167193,7.9011916e-05,snail
snails,0.0004868887806913821,0.30943593,5.5960245e-05,snail
Large blackbird,0.010641997635111637,0.29770696,4.414951e-05,blackbirds
blackbirds,0.004034221325728594,0.293127,2.064376e-05,Large blackbird
peacock,0.014467552340543924,0.31824717,6.558345e-05,Large peacock
Large peacock,0.0004868887806913821,0.31587592,4.529953e-05,peacock
peacocks,6.955554009876887e-05,0.33991355,0.0,peacock
cat,0.02643110523753217,0.26142308,3.952729e-05,Large cat
cats,0.0006955554009876886,0.27506715,4.3934582e-05,cat
lemur,0.014745774500939,0.3158536,5.0652703e-05,Large lemur
Large cat,0.0027822216039507545,0.26398167,4.530549e-05,cat
lynx,0.0013215552618766084,0.2966487,0.00015692334,Large lynx
Large antelope,0.012102663977185783,0.30784854,3.052854e-05,antelope
Large deer,0.009389997913333796,0.30407068,3.443824e-05,deers
antelope,0.0013911108019753773,0.3099119,4.0632487e-05,Large antelope
antelopes,0.0011824441816790708,0.30960596,2.9893483e-05,Large antelope
deers,0.005147109967308897,0.30248776,3.872691e-05,Large deer
iguana,0.009737775613827642,0.30275437,3.7949427e-05,Large iguana
iguanas,0.00013911108019753774,0.31121004,1.8253922e-06,Large iguana
lizards,6.955554009876887e-05,0.29223755,0.0,iguana
Large penguin,0.011476664116296864,0.3064707,7.386641e-05,penguin
penguin,0.0008346664811852264,0.31498918,7.3194504e-05,Large penguin
penguins,0.0027126660638519856,0.29978052,3.8953927e-05,Large penguin
Large lemur,0.0003477777004938443,0.30919784,2.6267768e-05,lemur
deer,0.0008346664811852264,0.30530712,3.707409e-05,deers
hippopotamuss,0.014189330180148849,0.33172697,9.063646e-05,hippopotamus
Large hippopotamus,0.0009042220212839953,0.31486088,0.00010090608,hippopotamuss
flamingo,0.001530221882172915,0.31947598,4.0422787e-05,Large flamingo
Large snake,0.013493774779161161,0.2975097,4.2876018e-05,snake
snakes,6.955554009876887e-05,0.27866796,0.0,Large snake
Large mongoose,0.008763998052444877,0.30896834,0.00010996773,mongoose
ferret,0.015510885442025456,0.30051857,0.00011413301,Large ferret
cow,0.01043333101481533,0.2967737,4.810969e-05,Large cow
Large cow,0.0045906656465187455,0.30427766,8.742014e-05,cow
cows,0.0002086666202963066,0.2851514,8.453925e-06,cow
Large goat,0.013841552479655005,0.30468848,5.5217264e-05,goats
goats,0.0007651109410864575,0.29950988,8.360906e-05,Large goat
Large panda,0.010572442095012867,0.313503,6.4548694e-05,panda
panda,0.0038255547054322878,0.3051787,4.860271e-05,Large panda
pandas,0.0006259998608889199,0.31139505,3.5272704e-05,Large panda
Large mole,0.010363775474716562,0.29008657,7.714521e-05,moles
moles,0.0003477777004938443,0.28482884,7.4231626e-05,Large mole
Large porcupine,0.008137998191555957,0.31884518,0.00015699762,porcupine
Large raccoon,0.0009737775613827642,0.31000647,0.00021065133,raccoon
beavers,6.955554009876887e-05,0.28812796,0.0,moles
beaver,0.00431244348612367,0.29380262,6.007379e-05,Large beaver
whale,0.000556444320790151,0.2978767,4.94197e-05,Large whale
donkey,0.012798219378173471,0.29834858,9.9669334e-05,Large donkey
Large donkey,0.002156221743061835,0.30507788,6.658031e-05,donkey
dolphins,0.0004173332405926132,0.30765697,5.3554773e-05,dolphin
kangaroo,0.003199554844543368,0.31578985,9.409241e-05,Large kangaroo
Large kangaroo,0.011685330736593169,0.32338795,5.2690506e-05,kangaroo
kangaroos,0.00013911108019753774,0.3255372,1.8037856e-05,kangaroo
ferrets,6.955554009876887e-05,0.31541684,0.0,ferret
Large ferret,0.0002086666202963066,0.29096568,8.0913305e-05,ferret
Large beaver,0.0023648883633581416,0.30080867,4.9205388e-05,beaver
raccoon,0.014745774500939,0.3158268,3.1255327e-05,Large raccoon
butterflys,0.007164220630173193,0.29575667,4.4378263e-05,butterfly
butterfly,0.006329554148987967,0.3001094,2.4785053e-05,butterflys
Large butterfly,0.001530221882172915,0.29616815,2.3879787e-05,butterflys
Large dog,0.01342421923906239,0.2661853,7.125874e-05,dog
dog,0.017945329345482368,0.25923964,4.0645748e-05,Large dog
dogs,0.00013911108019753774,0.27199265,1.2949109e-05,Large dog
Large lynx,0.013702441399457466,0.30781332,0.00017062541,lynx
Large elephant,0.008207553731654726,0.30303645,3.5431425e-05,elephant
elephant,0.011546219656395632,0.30175465,2.8029981e-05,Large elephant
elephants,0.0002782221603950755,0.29992443,3.9212406e-05,elephant
duck,0.00862488697224734,0.29641733,2.5172387e-05,Large duck
Large duck,0.0027126660638519856,0.30164942,2.4685492e-05,duck
bison,0.000556444320790151,0.30245975,1.3388693e-05,Large bison
Large bee,0.013285108158864854,0.29970634,7.2529176e-05,bees
