category,fraction,average_dot_product,variance,second_best_category
Animal frog,0.019684217847951588,0.3065613,6.242355e-05,frog
frog,0.0019475551227655283,0.30452484,3.1922544e-05,Animal frog
Small frogs,6.955554009876887e-05,0.3092946,0.0,Animal frog
Animal camel,0.001530221882172915,0.3056819,6.7862595e-05,camel
Large camel,0.0009737775613827642,0.31177908,3.7014484e-05,camel
Small camel,0.0033386659247409056,0.3061653,5.9843063e-05,camel
camels,0.005981776448494122,0.30759847,4.602033e-05,camel
Large camels,0.000556444320790151,0.31428072,0.00011331588,camels
camel,0.0025735549836544483,0.3063376,2.4660214e-05,camels
Small camels,0.0002086666202963066,0.31172797,6.850561e-05,camels
Animal falcon,0.021979550671210962,0.309986,4.2999847e-05,Large falcon
Large falcon,0.0007651109410864575,0.3041192,4.2958694e-05,Animal falcon
Large eagle,0.009668220073728872,0.30370152,5.1162227e-05,eagle
Animal hawk,0.0027822216039507545,0.30310774,3.4964083e-05,Animal falcon
Small hawk,0.0011824441816790708,0.3093397,4.572027e-05,Animal falcon
Large hawks,0.00013911108019753774,0.2982772,6.109476e-07,Animal hawk
Animal eagle,0.0018084440425679906,0.3040767,4.8261423e-05,eagle
Large hawk,0.001043333101481533,0.30785167,4.392465e-05,Animal falcon
falcon,0.00013911108019753774,0.298388,7.644296e-06,Animal falcon
Animal fox,0.013702441399457466,0.31597102,4.799354e-05,Small fox
Large fox,0.000556444320790151,0.30899268,0.00042819232,Animal fox
Small fox,0.0014606663420741461,0.29959455,0.0005982149,Animal fox
Animal spider,0.01286777491827224,0.30541554,7.911889e-05,Large spider
porcupines,6.955554009876887e-05,0.2776535,0.0,porcupine
Large spider,0.0013911108019753773,0.29898232,3.1381845e-05,Animal spider
porcupine,0.0004868887806913821,0.2608634,0.00015059965,porcupines
spider,0.0002086666202963066,0.30603597,5.195538e-06,Animal spider
Animal crocodile,0.010920219795506713,0.312697,5.3284275e-05,Large crocodile
Large crocodile,0.001599777422271684,0.31264433,3.2953594e-05,Animal crocodile
crocodile,0.00013911108019753774,0.3096091,0.000112727284,Animal crocodile
Large crocodiles,0.001599777422271684,0.31691417,5.2897827e-05,Animal crocodile
Large iguana,0.007511998330667038,0.31838882,9.418417e-05,Animal iguana
crocodiles,6.955554009876887e-05,0.30750597,0.0,Large crocodiles
Animal iguana,0.020518884329136816,0.31044516,5.800926e-05,Large iguana
